check_id,requirement,status,evidence_path,checked_by,checked_at_utc,blocking_if_fail,notes
F01,Deployment and non-causal claim complete,PASS,01_deployment_claim.yaml,Principal researcher and Codex,2026-07-25T05:30:00Z,true,Task target information set deployment boundary and excluded causal forecasting optimization and readiness claims are explicit
F02,Every parameter non-null and no TO_BE_FROZEN tokens remain,PENDING,parameter_register.csv,TO_BE_FROZEN,TO_BE_FROZEN,true,
F03,Every parameter has a documented non-outcome basis,PENDING,parameter_register.csv,TO_BE_FROZEN,TO_BE_FROZEN,true,
F04,Acquisition cutoff closed,PASS,registration/0725_acquisition_closure_record_v1.md,Principal researcher,2026-07-25T08:56:00Z,true,Principal researcher explicitly closed acquisition before ROP outcome access; earlier extension windows are superseded by the early-closure decision
F05,Candidate inventory immutable,PASS,../0725_CROSS_WELL_preunlock_integration_v4/0725_combined_acquisition_inventory_v5.csv,Principal researcher and Codex combined inventory audit,2026-07-25T08:56:00Z,true,Final v1.0 candidate inventory contains 102 files and 63834771389 bytes with SHA-256 20917E0BFD144DC2D9EF10B3AA7C2EBA592A012C2CB7498720CF7CA6EBB0310B
F06,Dependence rules executable,PASS,03e_final_preunlock_dependence_registry.csv,Principal researcher and Codex finalization audit,2026-07-25T10:03:35Z,true,Principal accepted all 36 family decisions; each traceable NOPTA well ID is one conservative family; IDs are unique; sidetrack or branch components remain within the well family; no cross-row merge; numeric ROP access zero
F07,Feature and ROP measurement-semantic contract complete,PASS,registration/0725_measurement_semantic_contract_audit_v1/0725_measurement_semantic_contract_audit_report_v1.md,Codex contract-metadata completeness audit,2026-07-25T09:49:12Z,true,Across the base and extension-v4 contracts all 23 qualified archive scopes contain exactly common4 plus one ROP target; 115 rows parse; all ambiguity statuses PASS; all target-semantic fields are populated; numeric ROP access zero
F08,Label-blinded QC tested and ROP access blocked,PASS,../0725_CROSS_WELL_preunlock_integration_v4/0725_preunlock_integration_report_v4.md,Codex restricted LAS audit,2026-07-25T08:46:04Z,true,Existing T1b plus four preunlock extensions applied fixed thresholds and canonical source-object selection with zero ROP tokens converted retained summarized or scored; Prelude amendment had zero prior-cohort token impact
F09,Two matched primary diagnostics and the retrospective semantic-failure track executable,PASS,07_falsification_diagnostics.yaml;07a_falsification_test_intervals.csv;registration/0725_source_matched_diagnostics_v1/0725_source_matched_diagnostic_manifest_v1.json,446654923BD1407BFAF37BB3E81493D5B86F527AA4FF6F62A4A72046972554A5,2026-07-26,true,"Source-only full rerun passed; F-15 is explicitly not a confirmatory semantic-bias estimator"
F10,Model and baselines frozen and hashed,PASS,08_model_baseline_manifest.json,Codex source-only artifact audit,2026-07-25T05:25:00Z,true,Five frozen ExtraTrees models frozen Ridge SourceMedian source-feature medians training selection and schema reload-verified; bundle manifest SHA-256 230d822e4261cf54442175e853ca59832d8c337f3793d6907acc8ef452e501b3
F11,MD-weighted loss uniquely implemented,PASS,registration/0725_synthetic_full_dry_run_v1/0725_synthetic_full_dry_run_report_v1.md,Codex synthetic full-pipeline dry run,2026-07-25T09:54:14Z,true,Implementation exercised stable sorting prediction-before-duplicate aggregation median duplicate scoring endpoint and interior MD weights cap invalid-weight handling coverage point and segment rules
F12,Qualified-to-scorable rules executable,PASS,registration/0725_synthetic_full_dry_run_v1/outputs/02_family_metrics.csv,Codex synthetic full-pipeline dry run,2026-07-25T09:54:14Z,true,One prespecified synthetic qualified family failed the frozen 100 m coverage threshold and was retained with an attrition reason while 16 families remained scorable
F13,Field aggregation automatic,PASS,registration/0725_synthetic_full_dry_run_v1/outputs/03_field_effects.csv,Codex synthetic full-pipeline dry run,2026-07-25T09:54:14Z,true,Eight synthetic fields were aggregated automatically with equal field weighting and the minimum two scorable independent families rule
F14,Uncertainty analysis automatic,PASS,10_uncertainty_plan.yaml;registration/0725_uncertainty_plan_test_v1/0725_uncertainty_plan_test_manifest_v1.json,5AD5EADC60495B3C6C7A36B712A43E6A3AF5FF9C69AF933B75B5FF76AFA25DAA,2026-07-26,true,"All primary and supplementary branches passed synthetic validation"
F15,Confirmatory cohort manifest complete,PASS,11e_final_preunlock_cohort_manifest.csv,Principal researcher and Codex finalization audit,2026-07-25T10:03:35Z,true,Final preunlock manifest retains all 36 development families including 23 qualified and 13 held; 13 fields are recorded; 8 fields are primary-qualified across 5 basin contexts; T3 scorable status remains locked
F16,Outcome lock verified in practice,PASS,registration/0725_outcome_lock_access_test_v1/0725_outcome_lock_access_test_report_v1.md,Codex synthetic sentinel access-control test,2026-07-25T09:05:30Z,true,Synthetic fixture contained a target sentinel; T1a emitted no numeric arrays; T1b converted retained and summarized zero target tokens; explicit ROP request exited 17; permitted outputs contained no sentinel; no real Layer D archive was opened
F17,All output shells generated by dry run,PASS,registration/0725_synthetic_full_dry_run_v1/outputs,Codex synthetic full-pipeline dry run,2026-07-25T09:54:14Z,true,All 10 predefined CSV output shells were generated and every output header exactly matched its frozen shell
F18,Claim wording matrix complete and testable,PASS,registration/0725_claim_deviation_rule_test_v1/0725_claim_deviation_rule_test_report_v1.md,Codex governance rule test,2026-07-25T09:58:22Z,true,Fourteen machine-readable claim branches cover all model-result diagnostic integrity and non-causal boundaries; every branch has allowed and prohibited wording
F19,Protocol deviation mechanism tested,PASS,registration/0725_claim_deviation_rule_test_v1/0725_claim_deviation_rule_test_report_v1.md,Codex governance rule test,2026-07-25T09:58:22Z,true,D1 D2 and D3 pre/post-unlock dispositions passed; actual DRYRUN-D2-001 retained the failed attempt and completed a full corrected synthetic-cohort rerun; active log contains no example row
F20,Source-only or synthetic full dry run complete,PASS,registration/0725_synthetic_full_dry_run_v1/0725_synthetic_full_dry_run_manifest_v1.json,Codex synthetic full-pipeline dry run,2026-07-25T09:54:14Z,true,Four synthetic basins eight fields and seventeen qualified families traversed the full pipeline; one family was non-scorable; all outputs generated; no real Layer D data opened
F21,Code model parser and environment hashed,PENDING,16_freeze_manifest.json,TO_BE_FROZEN,TO_BE_FROZEN,true,
F22,Freeze manifest generated and validates,PENDING,16_freeze_manifest.json,TO_BE_FROZEN,TO_BE_FROZEN,true,
F23,Trusted timestamp obtained,PENDING,TO_BE_FROZEN,TO_BE_FROZEN,TO_BE_FROZEN,true,
F24,Outcome remains inaccessible immediately before authorized unlock,PENDING,TO_BE_FROZEN,TO_BE_FROZEN,TO_BE_FROZEN,true,
