claim_id,condition_key,allowed_wording,prohibited_wording,scope,integrity_status
CW01,row_exposure_only,Same-state interpolation or a row-exposure diagnostic under the specified contrast,Independent cross-well generalization,specified diagnostic,diagnostic
CW02,family_isolated_source,Family-isolated transfer within the audited source setting,Cross-field or cross-basin confirmation,source families,retrospective
CW03,split_distortion_positive,The specified within-family row exposure produced an optimistic performance shift on the fixed test observations,The same average bias occurs in all petroleum datasets,identified source contrasts,matched diagnostic
CW04,dependence_distortion_positive,The nominal-file counterfactual produced an optimistic shift in the identified dependence cases,Petroleum wells generally have dependence bias of the observed magnitude,identified dependence cases,matched diagnostic
CW05,F15_retrospective_semantic,Semantic inconsistency can manufacture catastrophic apparent transfer failure and this case motivated the frozen semantic protocol,A confirmatory estimate of average semantic-bias magnitude,F-15 historical case,retrospective
CW06,semantic_distortion_positive,The specified semantic mismatch produced a pessimistic performance shift under the frozen contrast,The lower-error mapping is necessarily the correct physical interpretation,prespecified semantic contrast,matched diagnostic
CW07,ET_gt_median_and_ET_gt_ridge,Feature-conditioned ROP information transported relative to SourceMedian and nonlinear complexity provided incremental external transport value,Deployment readiness future forecasting causal optimization or universal nonlinear superiority,sampled petroleum fields in sampled basin contexts,confirmatory only after all gates
CW08,ET_gt_median_and_ET_not_gt_ridge,Learned conditional transport exists but nonlinear complexity was not shown to be necessary,ExtraTrees is uniquely or generally superior,sampled petroleum fields in sampled basin contexts,confirmatory only after all gates
CW09,ET_not_gt_median,The frozen evaluation provided little no or negative evidence of useful external conditional transport according to the observed effect and uncertainty,The protocol failed merely because the model did not win,sampled petroleum fields in sampled basin contexts,confirmatory only after all gates
CW10,layer_B,Retrospective external transport evidence,Confirmatory evidence,Layer B,retrospective
CW11,layer_C,Locally frozen external confirmation with the stated limitations,Externally timestamped or fully access-controlled confirmation,Layer C,local freeze
CW12,layer_D_all_gates_pass,Externally timestamped access-controlled multi-field confirmation in the sampled basin contexts,General random-basin population inference or deployment readiness,Layer D sampled fields,externally timestamped confirmation
CW13,multiple_basin_strata_positive,Replication consistency across multiple sampled basin contexts,A population effect across all petroleum basins,sampled basin contexts,stratified replication
CW14,mandatory_noncausal_boundary,The task is depth-indexed non-causal conditional ROP estimation,Any causal drilling-control or optimization claim,all analyses,mandatory
