record_status,dependence_family_id,basin_context,petroleum_field,nopta_well_id,well_name,archive_names,selected_source_object,T1b_descriptive_status,T2_qualified,preunlock_family_disposition,scorable_status_T3,primary_field_preunlock_status,primary_field_T3_rule,principal_decision,principal_decision_datetime_utc,numeric_ROP_accessed
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7082,Bonaparte Basin,Blacktip,7082,Blacktip P2,D00014583.zip,,HELD_NO_EXACT_COMMON4_LAS_QC,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_7090,Bonaparte Basin,Blacktip,7090,Blacktip P1,D00014630.zip,,HELD_NO_QUALIFYING_SOURCE_OBJECT,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_801,Bonaparte Basin,Blacktip,801,Blacktip P3,,Digital_Data_5_-_SLB_DD_MWD_LWD_Data/Final_LWD_Data/Blacktip-P3_LWD-GR-RES-DEN-NEU_180_3529m_MD_RM/ASCII/Blacktip-P3_DML-Depth_180_3529m_MD_RM_F.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6426,Perth Basin,Cliff Head,6426,Cliff Head 7H,,,HELD_NO_EXACT_COMMON4_LAS_QC,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6592,Perth Basin,Cliff Head,6592,Cliff Head 10,,,HELD_NO_EXACT_COMMON4_LAS_QC,false,HELD_RETAINED_IN_FLOW,NOT_EVALUATED_ROP_LOCKED,NOT_PRIMARY_ELIGIBLE_LT_2_QUALIFIED_FAMILIES,RETAIN_IN_FLOW_NOT_PRIMARY_PREUNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_2804,Gippsland Basin,Cobia,2804,Cobia A 14B,,9.875_In._Section/LAS/Drilling_Mechanics/ENO467475_CBA_A14B_DrillMech_RM_0_5ft_Run2.LAS,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_798,Gippsland Basin,Cobia,798,Cobia F 35,,CBA_F35_Client_Deliverables/9.875_In._Section/LAS/Drilling_Mechanics/CBA F35 DrillMech RM 0_5ft Run 4.LAS,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_3298,Gippsland Basin,Fortescue,3298,Fortescue A 4 ST2,,FTA_A4c_Final_Deliverables/LAS/FTA A4c DrillMech Rm 2060-3314m_0_5ft.LAS,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_3325,Gippsland Basin,Fortescue,3325,Fortescue A 30,,LAS/Drilling_Mechanics/ENO451423_FTA_A30A_DrillMech_RM_Depth_R3_2042_4602m_0_5m.LAS,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
FINAL_PREUNLOCK_ACCEPTED,LD_NOPTA_6959,Otway Basin,Geographe,6959,Geographe 5,,DRILLING_MECHANICS/Geographe5_RM_DrillingMechanicsDepth_180-4675m_LAS.las,LABEL_BLINDED_QUALIFIED,true,QUALIFIED,NOT_EVALUATED_ROP_LOCKED,QUALIFIED_GE_2_FAMILIES,INCLUDE_PRIMARY_IF_AT_LEAST_TWO_SCORABLE_AFTER_UNLOCK,ACCEPTED_AS_PROPOSED,2026-07-25T10:02:38Z,false
