parameter,value,category,evidence_basis,data_used,decision_date,outcome_access,frozen_version,owner,status,notes
protocol_status,DRAFT_NOT_FROZEN,A,Protocol lifecycle,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,Must become FROZEN only after all checklist items pass
prediction_task,depth-indexed conditional ROP estimation,A,Deployment and non-causal claim contract,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,Not future forecasting
primary_independent_unit,field,A,Claim-unit alignment,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,
basin_population_inference,false,A,Only sampled basin contexts are available,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,
primary_learner,FrozenExtraTrees,A,Previously selected source-only learner,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Model owner,FIXED_DRAFT,No post-outcome replacement
primary_baseline,SourceMedian,A,Deployment-available source-only constant,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Model owner,FIXED_DRAFT,
secondary_baseline,FrozenSourceOnlyRidge,A,Low-complexity source-only predictor under same feature contract,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Model owner,FIXED_DRAFT,
frozen_model_bundle_sha256,230d822e4261cf54442175e853ca59832d8c337f3793d6907acc8ef452e501b3,C,Hash of verified source-only model bundle manifest,Verified 10-unit Volve source queue and legacy Layer A/B freeze records,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Model owner,FIXED_DRAFT,Five ExtraTrees models one Ridge model SourceMedian and feature medians all reload-verified; public-safe logical paths
frozen_model_seeds,20260722|20260723|20260724|20260725|20260726,C,Legacy Layer A/B/C frozen seed set,Legacy freeze records,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Model owner,FIXED_DRAFT,Family loss calculated per seed then averaged
frozen_model_sampling,cap4000_per_unit__sampling_seed20260722__family_equal,C,Legacy Layer A/B/C training contract,Legacy freeze records and deterministic source training selection,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Model owner,FIXED_DRAFT,Training selection SHA256 3759a76e0b94ab1935b2ac5f821a5915df10e87c9dc731f1fcdbea2b1d03b238
primary_family_loss,MD_interval_weighted_MAE,A,Prevents within-family row-density weighting,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,
primary_estimand,field_equal_mean_transfer_gain,A,Cross-field scientific claim,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Statistics owner,FIXED_DRAFT,
minimum_qualified_fields,8,A,Procedural minimum replication threshold,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,Not a power calculation
minimum_basin_contexts,4,A,Procedural minimum replication threshold,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,Not random-basin inference
minimum_scorable_families_per_primary_field,2,A,Separates a field effect from a single-well effect,None,2026-07-24,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,
acquisition_cutoff_datetime_utc,2026-07-25T15:59:59Z,A,Principal-researcher governance decision independent of outcomes,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Protocol owner,FIXED_DRAFT,Confirmed local cutoff 2026-07-25T23:59:59+08:00 before ROP outcome access
acquisition_closure_confirmed_at_utc,2026-07-25T08:56:00Z,A,Explicit principal-researcher confirmation independent of outcomes,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Principal researcher,FROZEN_FOR_V1_0_INVENTORY,Closes acquisition early and supersedes nominal 2026-07-27 extension windows
final_candidate_inventory_identity,integration_v4_102_file_inventory,A,Explicit principal-researcher acceptance of the audited final inventory,Combined acquisition inventory v5 metadata only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Principal researcher,FROZEN_FOR_V1_0_INVENTORY,102 files; 63834771389 bytes; SHA-256 20917E0BFD144DC2D9EF10B3AA7C2EBA592A012C2CB7498720CF7CA6EBB0310B
prespecified_basin_source_inventory,Gippsland|Otway|Northern Carnarvon|Bonaparte|Perth|Browse,A,User-declared completed acquisition scope,None,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Data owner,FIXED_DRAFT,Folder labels only; basin identities remain subject to T1a verification
T0_candidate_file_count,102,C,Combined file-system inventory without ROP outcome inspection,Original T0 supplemental D data and four prespecified preunlock extensions,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Extension v4 separately versioned with cutoff 2026-07-27
T0_candidate_total_bytes,63834771389,C,Combined file-system inventory without ROP outcome inspection,Original T0 supplemental D data and four prespecified preunlock extensions,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T0_inventory_sha256,20917E0BFD144DC2D9EF10B3AA7C2EBA592A012C2CB7498720CF7CA6EBB0310B,C,SHA-256 of combined acquisition inventory v5,Inventory metadata only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T1a0_access_mode,ZIP_CENTRAL_DIRECTORY_READ_ONLY,C,Prespecified access contract and user authorization,ZIP central directories only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,No entry stream or member content access
T1a0_script_sha256,fe21bc3f03674cc5dc32871aac9cdf65b005f123295e28469317d3ad322011ca,C,Hash frozen before T1a0 execution,Execution script only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T1a0_member_inventory_sha256,e2533319a7bea556055cc91e5357acf08820437f54138396c245fb136b3da976,C,SHA-256 of member-level structural inventory,ZIP central directories only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T1a0_access_log_sha256,2230b663152f2c3be7bacd07a4366eb7c21152b271dcf80685a97db8a67f91be,C,SHA-256 of per-archive access log,Execution access log only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T1a1_authorized_formats,.las|.csv|.xml|.witsml,C,User-authorized restricted header scope,T1a0 member inventory,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T1a1_parser_sha256,d39c825e9ff5a52874b4f50a7fa356e277e5d222d554813ad561acf68952c0b1,C,Hash frozen after synthetic boundary dry run and before real execution,Parser source and synthetic data only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T1a1_authorized_member_count,1206,C,T1a0 extension inventory,T1a0 member inventory only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T1a1_safe_pass_member_count,1159,C,Restricted parser output,Header boundaries only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,Parser PASS does not equal cohort qualification
T1a1_unsafe_member_count,47,C,Prespecified conservative boundary rules,Header boundaries only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,No normalized items emitted for unsafe members
T1a1_header_items_sha256,97564dad6b1baba40fe919d9321801ce38ddb826ed58794430ef3454296166de,C,SHA-256 of normalized header evidence,Restricted header outputs only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
T1a1_access_log_sha256,d900baa4e8b7ab7755076deff27e6534f90a7102c94844c411b397f5a010c967,C,SHA-256 of member-level access log,Execution access log only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Execution owner,FIXED_DRAFT,
identity_dependence_rule_script_sha256,50220e30ad29f0f63e84c80c600e2ed31bd391bb68d7885f94a88ffd7295bd11,C,Hash frozen before candidate generation,Normalized header and path metadata only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Identity audit owner,FIXED_DRAFT,
identity_reconstruction_v2_sha256,a14db259e9a857308859ab82379535962921904f13313f57f257342aa6f30c5a,C,D2 preunlock full-cohort correction from frozen normalized header evidence,Normalized header items only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Identity audit owner,FIXED_DRAFT,
unit_candidate_count,68,C,Conservative identity candidate generation,Normalized header and member paths only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Identity audit owner,FIXED_DRAFT,Final unit count not assigned
dependence_edge_count,23,C,Only exact UWI exact normalized well or explicit sidetrack root,Normalized header and member paths only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Identity audit owner,FIXED_DRAFT,Final edge decisions pending principal review
candidate_dependence_family_count,50,C,Connected components of high-confidence candidate edges,Candidate edges only,2026-07-25,NO_LAYER_D_OUTCOME_ACCESS,v0.9-draft,Identity audit owner,FIXED_DRAFT,Final family count not assigned
