record_status,variable_role,canonical_name,raw_mnemonic,physical_definition,measurement_location,original_uom,canonical_uom,sampling_basis,aggregation_window,operational_state,conversion,missing_rule,physical_range_rule,smoothing_status,derived_status,evidence_source,ambiguity_status,rop_definition,instantaneous_or_averaged,depth_or_time_derived,window_length,connection_exclusion,off_bottom_exclusion,reaming_exclusion,zero_policy,negative_policy,upper_range_policy,archive_scope,notes
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,measured_depth,Tot Depth,Source-reported total hole depth in mMDRT treated as measured depth,wellbore trajectory index,m,m,native depth-indexed source object,source reported or unknown,mudlogging drilling-data lineage in selected header,x1,mark unavailable; frozen source median after family qualification,0 <= MD_m <= 15000; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,,,,,,,,,,,Browse Basin|Prelude|6896|Digital_Data_Mudlogging/Ascii/Drill/Prelude P3_DrillData_259.5-5140.0mMDRT.LAS,Header-qualified under SEMANTIC_MAP_AMENDMENT_20260725_V1; ROP numeric payload remained inaccessible
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,weight_on_bit,WOB,Source-reported surface weight on bit,surface,klbs,kkgf,native depth-indexed source object,source reported or unknown,mudlogging drilling-data lineage in selected header,x0.45359237_to_kkgf,mark unavailable; frozen source median after family qualification,0 <= WOB_kkgf <= 100; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,,,,,,,,,,,Browse Basin|Prelude|6896|Digital_Data_Mudlogging/Ascii/Drill/Prelude P3_DrillData_259.5-5140.0mMDRT.LAS,Header-qualified under SEMANTIC_MAP_AMENDMENT_20260725_V1; ROP numeric payload remained inaccessible
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,surface_rotary_speed,RPM,Source-reported surface rotary speed,surface,rpm,rpm,native depth-indexed source object,source reported or unknown,mudlogging drilling-data lineage in selected header,x1,mark unavailable; frozen source median after family qualification,0 <= surface_RPM_rpm <= 500; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,,,,,,,,,,,Browse Basin|Prelude|6896|Digital_Data_Mudlogging/Ascii/Drill/Prelude P3_DrillData_259.5-5140.0mMDRT.LAS,Header-qualified under SEMANTIC_MAP_AMENDMENT_20260725_V1; ROP numeric payload remained inaccessible
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,standpipe_pressure,SPP,Source-reported standpipe pressure,surface,psi,kPa,native depth-indexed source object,source reported or unknown,mudlogging drilling-data lineage in selected header,x6.894757293168_to_kPa,mark unavailable; frozen source median after family qualification,0 <= SPP_kPa <= 70000; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,,,,,,,,,,,Browse Basin|Prelude|6896|Digital_Data_Mudlogging/Ascii/Drill/Prelude P3_DrillData_259.5-5140.0mMDRT.LAS,Header-qualified under SEMANTIC_MAP_AMENDMENT_20260725_V1; ROP numeric payload remained inaccessible
PRINCIPALLY_FROZEN_ARCHIVE_SPECIFIC_PASS,target,rate_of_penetration,ROP m/hr,Source-reported operational rate of penetration representing new-hole advancement during eligible active-drilling intervals,wellbore advancement,m/h,m/h,native depth-indexed source object,source reported; internal averaging window unknown,mudlogging drilling-data lineage in selected header,x1_to_m_per_h,exclude nonfinite target and count,finite and strictly positive; no upper truncation,source reported; no new smoothing,source-reported measured or derived lineage recorded,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,ROP m/hr,source-reported; unknown,source-reported depth-indexed curve,unknown,exclude when explicitly flagged,exclude when explicitly flagged or require drilling-only lineage,exclude when explicitly flagged or require new-hole lineage,exclude and count,exclude and count,retain finite positive extremes and flag,Browse Basin|Prelude|6896|Digital_Data_Mudlogging/Ascii/Drill/Prelude P3_DrillData_259.5-5140.0mMDRT.LAS,ROP numeric payload remained inaccessible when this row was generated
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,measured_depth,Tot Depth,Source-reported total hole depth in mMDRT treated as measured depth,wellbore trajectory index,m,m,native depth-indexed source object,source reported or unknown,mudlogging drilling-data lineage in selected header,x1,mark unavailable; frozen source median after family qualification,0 <= MD_m <= 15000; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,,,,,,,,,,,Browse Basin|Prelude|6898|Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P4_Drilldata_259.2-5463.0mMDRT.LAS,Header-qualified under SEMANTIC_MAP_AMENDMENT_20260725_V1; ROP numeric payload remained inaccessible
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,weight_on_bit,WOB,Source-reported surface weight on bit,surface,klbs,kkgf,native depth-indexed source object,source reported or unknown,mudlogging drilling-data lineage in selected header,x0.45359237_to_kkgf,mark unavailable; frozen source median after family qualification,0 <= WOB_kkgf <= 100; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,,,,,,,,,,,Browse Basin|Prelude|6898|Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P4_Drilldata_259.2-5463.0mMDRT.LAS,Header-qualified under SEMANTIC_MAP_AMENDMENT_20260725_V1; ROP numeric payload remained inaccessible
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,surface_rotary_speed,RPM,Source-reported surface rotary speed,surface,rpm,rpm,native depth-indexed source object,source reported or unknown,mudlogging drilling-data lineage in selected header,x1,mark unavailable; frozen source median after family qualification,0 <= surface_RPM_rpm <= 500; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,,,,,,,,,,,Browse Basin|Prelude|6898|Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P4_Drilldata_259.2-5463.0mMDRT.LAS,Header-qualified under SEMANTIC_MAP_AMENDMENT_20260725_V1; ROP numeric payload remained inaccessible
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,standpipe_pressure,SPP,Source-reported standpipe pressure,surface,psi,kPa,native depth-indexed source object,source reported or unknown,mudlogging drilling-data lineage in selected header,x6.894757293168_to_kPa,mark unavailable; frozen source median after family qualification,0 <= SPP_kPa <= 70000; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,,,,,,,,,,,Browse Basin|Prelude|6898|Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P4_Drilldata_259.2-5463.0mMDRT.LAS,Header-qualified under SEMANTIC_MAP_AMENDMENT_20260725_V1; ROP numeric payload remained inaccessible
PRINCIPALLY_FROZEN_ARCHIVE_SPECIFIC_PASS,target,rate_of_penetration,ROP m/hr,Source-reported operational rate of penetration representing new-hole advancement during eligible active-drilling intervals,wellbore advancement,m/h,m/h,native depth-indexed source object,source reported; internal averaging window unknown,mudlogging drilling-data lineage in selected header,x1_to_m_per_h,exclude nonfinite target and count,finite and strictly positive; no upper truncation,source reported; no new smoothing,source-reported measured or derived lineage recorded,../0725_CROSS_WELL_extension_v4_T1b_v2/0725_extension_v4_T1b_v2_LAS_file_QC_v1.csv,PASS,ROP m/hr,source-reported; unknown,source-reported depth-indexed curve,unknown,exclude when explicitly flagged,exclude when explicitly flagged or require drilling-only lineage,exclude when explicitly flagged or require new-hole lineage,exclude and count,exclude and count,retain finite positive extremes and flag,Browse Basin|Prelude|6898|Digital_Data_Mudlogging/Ascii/Drill_Ascii/Prelude P4_Drilldata_259.2-5463.0mMDRT.LAS,ROP numeric payload remained inaccessible when this row was generated
