deviation_id,detected_datetime_utc,detected_by,unlock_status,deviation_class,original_rule_or_artifact,description,outcome_independent,scientific_decision_rule_changed,corrective_action,full_cohort_rerun_required,original_results_retained,corrected_results_path,approval_or_signoff,reporting_status,notes
DRYRUN-D2-001,2026-07-25T09:55:00Z,Codex,PRE_UNLOCK,D2,scripts/run_synthetic_full_dry_run.py,The synthetic short-family label ended in SHORT while the fixture generator attempted to parse the final token as an integer,true,false,Assign the prespecified synthetic short family index explicitly and rerun the complete synthetic cohort,true,true,registration/0725_synthetic_full_dry_run_v1,technical audit complete,CLOSED_CORRECTED_FULL_RERUN,The failed attempt stopped before output generation; the full 17-family synthetic cohort rerun passed; no real Layer D data were opened
DRYRUN-D2-002,2026-07-26T03:01:00Z,Codex,PRE_UNLOCK,D2,07a_falsification_test_intervals.csv,The F-7/F-9 split test initially named the F-9 file whose exact rows are removed by the frozen family-level keep-first deduplication,true,false,Use the identical frozen MD interval in the retained F-7 file for the split diagnostic while preserving F-9 as the raw nominal-file dependence test,true,true,registration/0725_source_matched_diagnostics_v1,technical audit complete,CLOSED_CORRECTED_FULL_RERUN,"The first run stopped before model fitting for that case; no Layer D archive was opened"
DRYRUN-D2-003,2026-07-26T03:03:00Z,Codex,PRE_UNLOCK,D2,scripts/run_source_matched_falsification_diagnostics.py,Historical OOF discovery found both retained v2 and current v3 reproduction packages and therefore failed closed rather than selecting one implicitly,true,false,Lock the retrospective F-15 evidence source to the current 0718 reproduction package v3 and rerun all diagnostics,true,true,registration/0725_source_matched_diagnostics_v1,technical audit complete,CLOSED_CORRECTED_FULL_RERUN,"All model fits had completed but no final result artifacts were written; the complete rerun passed; no Layer D archive was opened"
D2-T1A1-001,2026-07-24T17:20:48.473Z,Codex,PRE_UNLOCK,D2,0725_T1a1_summarize_header_evidence_v1.py,LAS Well-section string values were stored in the parsed uom slot when the LAS unit was blank; identity-only summary therefore used the wrong source field,true,false,Create a separately versioned identity reconstruction using the frozen normalized header output; retain v1 evidence and regenerate identity summaries for the full cohort,true,true,drafts/0725_CROSS_WELL_identity_dependence_review_v1/0725_identity_item_reconstruction_v2.csv,principal researcher review pending,CORRECTED_ANALYSIS_GENERATED_PENDING_REVIEW,Curve-section mnemonic and UOM evidence and all raw-access boundaries are unaffected
D2-ID-002,2026-07-24T17:26:37.422Z,Codex,PRE_UNLOCK,D2,0725_archive_identity_candidates_v1.csv,A potential generic-FLD misclassification was suspected from the superseded v1 identity summary and was tested against the corrected full-cohort identity reconstruction,true,false,Retain v1 and generate field-classification v2; full-cohort reclassification found zero GENERIC_FIELD_REVIEW_REQUIRED rows and no archive field-status changes,true,true,drafts/0725_CROSS_WELL_identity_dependence_review_v1/0725_archive_identity_candidates_v2.csv,technical audit complete,CLOSED_NO_AFFECTED_RECORDS,No raw ZIP or numeric data access; well field and dependence candidate results were unchanged
D2-META-001,2026-07-24T18:07:23.008Z,Codex,PRE_UNLOCK,D2,0725_CROSS_WELL_external_identity_metadata_v1/scripts,"Windows PowerShell interpreted a non-BOM path literal incorrectly and a script variable conflicted with the reserved Host variable",true,false,"Derive the project root from PSScriptRoot; rename the variable; rerun the complete 10-item origin-metadata collection",true,true,drafts/0725_CROSS_WELL_external_identity_metadata_v1/0725_download_origin_metadata_v1.csv,technical audit complete,CLOSED_CORRECTED,No ZIP content or numeric payload was accessed
D2-T1B-001,2026-07-25T04:06:09Z,Codex,PRE_UNLOCK,D2,0725_CROSS_WELL_T1b_label_blinded_v1/scripts/run_T1b_restricted_las_qc.py,Supplemental acquisition registry uses activity_name rather than the nonexistent well_name field; first run stopped during metadata assembly before LAS numeric processing,true,false,Replace the field reference with activity_name and rerun the complete selected cohort,true,true,drafts/0725_CROSS_WELL_T1b_label_blinded_v1/0725_T1b_family_covariate_QC_v1.csv,technical audit complete,CLOSED_CORRECTED_FULL_RERUN,Attempt-1 error log retained; no T1b numeric summary or ROP access occurred in attempt 1
D3-T1B-SEM-001,2026-07-25T04:15:00Z,Codex,PRE_UNLOCK,D3,0725_CROSS_WELL_T1b_label_blinded_v1 semantic mapping rules,Initial fail-closed mapping did not accept BITDEP or PUMP despite explicit descriptions Bit Measured Depth and Pump Pressure - Stand Pipe in Jansz-Io 7354,true,true,Create separately versioned v2 semantic mapping; accept only exact description-supported mappings; retain ambiguous SPP1/SPP2 and CRPM_RT as held; rerun full selected cohort,true,true,drafts/0725_CROSS_WELL_T1b_label_blinded_v2/0725_T1b_family_covariate_QC_v1.csv,pre-freeze protocol engineering decision,CLOSED_NEW_DRAFT_VERSION,No ROP value or performance result was used; v1 outputs retained
D2-META-002,2026-07-24T18:07:23.008Z,Codex,PRE_UNLOCK,D2,0725_CROSS_WELL_external_identity_metadata_v1/scripts/retrieve_neats_released_document_metadata.ps1,"The official OData service rejected a single filter containing all 59 Item_ID clauses with HTTP 400",true,false,"Split the fixed Item_ID inventory into deterministic batches of 10; prohibit unexpected pagination; rerun all 59 Item_ID values",true,true,drafts/0725_CROSS_WELL_external_identity_metadata_v1/0725_NEATS_released_document_metadata_v1.csv,technical audit complete,CLOSED_CORRECTED,Query batching changed only transport mechanics and not scientific eligibility or identity rules
D2-MODEL-001,2026-07-25T05:20:00Z,Codex,PRE_UNLOCK,D2,model_artifacts initial source-only bundle,Initial export omitted the separate source-feature-median artifact required to apply the already frozen missing-feature rule before ExtraTrees prediction,true,false,Retain the initial bundle in trash; add deterministic source-feature medians to the export; rebuild and reload every model artifact,true,true,trash/0725_model_bundle_preprocessor_omission_v1,technical audit complete,CLOSED_CORRECTED_FULL_REBUILD,No Layer D outcome or performance was accessed; model specifications training sample and source-only weighting were unchanged
