record_status,variable_role,canonical_name,raw_mnemonic,physical_definition,measurement_location,original_uom,canonical_uom,sampling_basis,aggregation_window,operational_state,conversion,missing_rule,physical_range_rule,smoothing_status,derived_status,evidence_source,ambiguity_status,rop_definition,instantaneous_or_averaged,depth_or_time_derived,window_length,connection_exclusion,off_bottom_exclusion,reaming_exclusion,zero_policy,negative_policy,upper_range_policy,archive_scope,notes
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,measured_depth,DEPT,Measured depth along the wellbore trajectory,wellbore trajectory index,m,m,native depth-indexed source object,source reported or unknown,drilling-surface lineage in selected header,x1,mark unavailable; frozen source median after family qualification,0 <= MD_m <= 15000; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,,,,,,,,,,,Bonaparte Basin|Blacktip|801|Digital_Data_5_-_SLB_DD_MWD_LWD_Data/Final_LWD_Data/Blacktip-P3_LWD-GR-RES-DEN-NEU_180_3529m_MD_RM/ASCII/Blacktip-P3_DML-Depth_180_3529m_MD_RM_F.las,Depth Index
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,weight_on_bit,SWOB,Source-reported surface weight on bit,surface,1000 lbf,kkgf,native depth-indexed source object,source reported or unknown,drilling-surface lineage in selected header,x0.45359237_to_kkgf,mark unavailable; frozen source median after family qualification,0 <= WOB_kkgf <= 100; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,,,,,,,,,,,Bonaparte Basin|Blacktip|801|Digital_Data_5_-_SLB_DD_MWD_LWD_Data/Final_LWD_Data/Blacktip-P3_LWD-GR-RES-DEN-NEU_180_3529m_MD_RM/ASCII/Blacktip-P3_DML-Depth_180_3529m_MD_RM_F.las,(RT)    (DRILLING_SURFACE)      (6in)                   Surface Weight On Bit
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,surface_rotary_speed,RPM,Source-reported surface rotary speed,surface,c/min,rpm,native depth-indexed source object,source reported or unknown,drilling-surface lineage in selected header,x1,mark unavailable; frozen source median after family qualification,0 <= surface_RPM_rpm <= 500; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,,,,,,,,,,,Bonaparte Basin|Blacktip|801|Digital_Data_5_-_SLB_DD_MWD_LWD_Data/Final_LWD_Data/Blacktip-P3_LWD-GR-RES-DEN-NEU_180_3529m_MD_RM/ASCII/Blacktip-P3_DML-Depth_180_3529m_MD_RM_F.las,(RT)    (DRILLING_SURFACE)      (6in)                   Rotational Speed
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,standpipe_pressure,SPPA,Source-reported standpipe pressure,surface,psi,kPa,native depth-indexed source object,source reported or unknown,drilling-surface lineage in selected header,x6.894757293168_to_kPa,mark unavailable; frozen source median after family qualification,0 <= SPP_kPa <= 70000; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,,,,,,,,,,,Bonaparte Basin|Blacktip|801|Digital_Data_5_-_SLB_DD_MWD_LWD_Data/Final_LWD_Data/Blacktip-P3_LWD-GR-RES-DEN-NEU_180_3529m_MD_RM/ASCII/Blacktip-P3_DML-Depth_180_3529m_MD_RM_F.las,(RT)    (DRILLING_SURFACE)      (6in)                   Standpipe Pressure
PRINCIPALLY_FROZEN_ARCHIVE_SPECIFIC_PASS,target,rate_of_penetration,ROP5,Source-reported operational rate of penetration representing new-hole advancement during eligible active-drilling intervals,wellbore advancement,m/h,m/h,native depth-indexed source object,5 ft (approximately 1.5 m) source window,drilling-surface lineage in selected header,x1_to_m_per_h,exclude nonfinite target and count,finite and strictly positive; no upper truncation,source reported; no new smoothing,source-reported measured or derived lineage recorded,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,(RT)    (DRILLING_SURFACE)      (6in)                   Rate of penetration averaged over the last 5 ft (1.5 m),averaged,source-reported depth-indexed curve,5 ft (approximately 1.5 m),exclude when explicitly flagged,exclude when explicitly flagged or require drilling-only lineage,exclude when explicitly flagged or require new-hole lineage,exclude and count,exclude and count,retain finite positive extremes and flag,Bonaparte Basin|Blacktip|801|Digital_Data_5_-_SLB_DD_MWD_LWD_Data/Final_LWD_Data/Blacktip-P3_LWD-GR-RES-DEN-NEU_180_3529m_MD_RM/ASCII/Blacktip-P3_DML-Depth_180_3529m_MD_RM_F.las,ROP numeric payload remained inaccessible when this row was generated
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,measured_depth,DEPT,Measured depth along the wellbore trajectory,wellbore trajectory index,M,m,native depth-indexed source object,source reported or unknown,drilling-surface lineage in selected header,x1,mark unavailable; frozen source median after family qualification,0 <= MD_m <= 15000; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,,,,,,,,,,,Gippsland Basin|Cobia|2804|9.875_In._Section/LAS/Drilling_Mechanics/ENO467475_CBA_A14B_DrillMech_RM_0_5ft_Run2.LAS,Bit Depth 2hz
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,weight_on_bit,SWOB,Source-reported surface weight on bit,surface,KLBF,kkgf,native depth-indexed source object,source reported or unknown,drilling-surface lineage in selected header,x0.45359237_to_kkgf,mark unavailable; frozen source median after family qualification,0 <= WOB_kkgf <= 100; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,,,,,,,,,,,Gippsland Basin|Cobia|2804|9.875_In._Section/LAS/Drilling_Mechanics/ENO467475_CBA_A14B_DrillMech_RM_0_5ft_Run2.LAS,Surface Weight on Bit 2hz
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,surface_rotary_speed,RPM,Source-reported surface rotary speed,surface,RPM,rpm,native depth-indexed source object,source reported or unknown,drilling-surface lineage in selected header,x1,mark unavailable; frozen source median after family qualification,0 <= surface_RPM_rpm <= 500; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,,,,,,,,,,,Gippsland Basin|Cobia|2804|9.875_In._Section/LAS/Drilling_Mechanics/ENO467475_CBA_A14B_DrillMech_RM_0_5ft_Run2.LAS,SRF SRPM 2hz
DRAFT_ARCHIVE_SPECIFIC_PASS,feature,standpipe_pressure,SPPA,Source-reported standpipe pressure,surface,PSI,kPa,native depth-indexed source object,source reported or unknown,drilling-surface lineage in selected header,x6.894757293168_to_kPa,mark unavailable; frozen source median after family qualification,0 <= SPP_kPa <= 70000; violations become unavailable,source reported; no new smoothing,source-reported engineering curve,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,,,,,,,,,,,Gippsland Basin|Cobia|2804|9.875_In._Section/LAS/Drilling_Mechanics/ENO467475_CBA_A14B_DrillMech_RM_0_5ft_Run2.LAS,SRF PUMPRS 2hz
PRINCIPALLY_FROZEN_ARCHIVE_SPECIFIC_PASS,target,rate_of_penetration,ROP5_RM,Source-reported operational rate of penetration representing new-hole advancement during eligible active-drilling intervals,wellbore advancement,M/HR,m/h,native depth-indexed source object,5 ft (approximately 1.5 m) source window,drilling-surface lineage in selected header,x1_to_m_per_h,exclude nonfinite target and count,finite and strictly positive; no upper truncation,source reported; no new smoothing,source-reported measured or derived lineage recorded,../0725_CROSS_WELL_T1b_label_blinded_v4/0725_T1b_LAS_file_covariate_QC_v1.csv,PASS,"Rate of Penetration, Averaged over Last 5ft",averaged,source-reported depth-indexed curve,5 ft (approximately 1.5 m),exclude when explicitly flagged,exclude when explicitly flagged or require drilling-only lineage,exclude when explicitly flagged or require new-hole lineage,exclude and count,exclude and count,retain finite positive extremes and flag,Gippsland Basin|Cobia|2804|9.875_In._Section/LAS/Drilling_Mechanics/ENO467475_CBA_A14B_DrillMech_RM_0_5ft_Run2.LAS,ROP numeric payload remained inaccessible when this row was generated
